,TOTALS,,,,AGE,,,,DRINKS,,,,RACE,,,,INDUSTRY,,,,ORIENTATION,,,,RELIGION,,,,LIST OF BIRACIAL RACES,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
,,,,,29,,,,socially,,,,white,,,,medicine / health,,,,straight,,,,christianity,,,,,,
